n,p,alpha,w_type,min,max,average
100,0.2,0.4,random,0.0,0.39397488814543663,0.0039999844342298654
100,0.2,0.5,degree,0.0,0.05555555555555555,0.005
100,0.2,0.5,random,0.0,0.4983374643838595,0.004999962068741894
100,0.2,0.6,degree,0.0,0.06,0.006
100,0.2,0.6,random,0.0,0.5907292343745429,0.005999980013215505
100,0.2,0.7,degree,0.0,0.05833333333333333,0.007
100,0.2,0.7,random,0.0,0.6965102981441583,0.006999974793679368
100,0.2,0.8,degree,0.0,0.1,0.008
100,0.2,0.8,random,0.0,0.79852120388588,0.007999568055626212
100,0.2,0.9,degree,0.0,0.09,0.009
100,0.2,0.9,random,0.0,0.8929102336290056,0.008999322263476552
100,0.2,1.0,degree,0.0,0.08333333333333333,0.01
100,0.2,1.0,random,0.0,0.9811578558510705,0.009999959303709036
100,0.2,0.1,degree,0.0,0.009090909090909092,0.0010000000000000002
100,0.2,0.1,random,0.0,0.09880881953999951,0.000999982812369147
100,0.2,0.2,degree,0.0,0.022222222222222223,0.002
100,0.2,0.2,random,0.0,0.19769709545626846,0.001998481129844113
100,0.2,0.3,degree,0.0,0.03333333333333333,0.0029999999999999996
100,0.2,0.3,random,0.0,0.2918944936068129,0.0029999683723858452
100,0.2,0.4,degree,0.0,0.04,0.004
100,0.2,0.4,random,0.0,0.399072187487224,0.003999993416640663
100,0.2,0.5,degree,0.0,0.05555555555555555,0.005
100,0.2,0.5,random,0.0,0.48178701901399984,0.004999939827906809
100,0.2,0.6,degree,0.0,0.06,0.006
100,0.2,0.6,random,0.0,0.5964796492754966,0.005999956237261001
100,0.2,0.7,degree,0.0,0.05833333333333333,0.007
100,0.2,0.7,random,0.0,0.6995872736103027,0.006999976050706333
